Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,7.4375,6.9375,7.0625,7.0,240000.0,4.657625198364258
2000-01-04,6.875,6.625,6.75,6.875,393600.0,4.574451923370361
2000-01-05,6.875,6.6875,6.875,6.8125,138500.0,4.532866954803467
2000-01-06,6.9375,6.75,6.9375,6.9375,184900.0,4.6160383224487305
2000-01-07,7.0,6.625,7.0,6.625,1886200.0,4.40811014175415
2000-01-10,7.1875,6.6875,6.75,7.0625,519900.0,4.699209690093994
2000-01-11,7.0625,6.8125,7.0625,6.875,153700.0,4.574451923370361
2000-01-12,6.8125,6.6875,6.8125,6.8125,1544900.0,4.532866954803467
2000-01-13,7.0,6.4375,6.8125,6.6875,823100.0,4.449695587158203
2000-01-14,6.75,6.5,6.75,6.5,462600.0,4.324936389923096
2000-01-18,6.75,6.5625,6.5625,6.75,732400.0,4.491280555725098
2000-01-19,6.75,6.5625,6.625,6.6875,337500.0,4.449695587158203
2000-01-20,6.6875,6.5625,6.625,6.6875,313700.0,4.449695587158203
2000-01-21,6.75,6.5,6.625,6.5625,589900.0,4.366522312164307
2000-01-24,6.5,6.375,6.5,6.375,483900.0,4.241764545440674
2000-01-25,7.0,6.4375,6.5,6.5,4488000.0,4.324936389923096
2000-01-26,6.75,6.4375,6.5,6.4375,735700.0,4.283351898193359
2000-01-27,6.5625,6.4375,6.4375,6.4375,1071200.0,4.283351898193359
2000-01-28,6.4375,5.875,6.4375,5.9375,2029500.0,3.9506638050079346
2000-01-31,6.0,5.625,5.9375,6.0,1365100.0,3.9922523498535156
2000-02-01,6.4375,6.0625,6.0625,6.375,377700.0,4.241764545440674
2000-02-02,6.4375,6.0625,6.25,6.4375,879500.0,4.283351898193359
2000-02-03,6.5625,6.0625,6.5,6.0625,540600.0,4.033833980560303
2000-02-04,6.25,5.9375,6.125,6.1875,1520000.0,4.117008209228516
2000-02-07,6.25,6.0625,6.0625,6.125,226800.0,4.075422286987305
2000-02-08,6.375,5.875,6.25,6.0625,904700.0,4.033833980560303
2000-02-09,5.9375,5.5625,5.875,5.6875,1506600.0,3.784320831298828
2000-02-10,5.8125,5.1875,5.6875,5.75,1204100.0,3.8259053230285645
2000-02-11,6.25,5.625,5.75,6.0625,445900.0,4.033833980560303
2000-02-14,6.0625,5.8125,6.0,6.0,273500.0,3.9922523498535156
2000-02-15,6.0,5.6875,5.9375,5.6875,90800.0,3.784320831298828
2000-02-16,5.9375,5.75,5.9375,5.75,131800.0,3.8259053230285645
2000-02-17,5.8125,5.5,5.75,5.75,244000.0,3.8259053230285645
2000-02-18,5.75,5.625,5.6875,5.75,245700.0,3.8259053230285645
2000-02-22,5.75,5.375,5.625,5.6875,242300.0,3.784320831298828
2000-02-23,5.6875,5.4375,5.6875,5.5,168300.0,3.6595611572265625
2000-02-24,5.6875,5.25,5.4375,5.625,400300.0,3.7427330017089844
2000-02-25,5.875,5.375,5.6875,5.5,248400.0,3.6595611572265625
2000-02-28,5.4375,5.1875,5.4375,5.3125,460800.0,3.5348050594329834
2000-02-29,5.75,5.0,5.3125,5.6875,3310900.0,3.784320831298828
2000-03-01,6.125,5.5,5.6875,6.0625,690400.0,4.033833980560303
2000-03-02,7.25,6.25,6.3125,6.875,963100.0,4.574451923370361
2000-03-03,7.1875,6.8125,7.0,6.9375,599200.0,4.6160383224487305
2000-03-06,6.9375,6.4375,6.9375,6.8125,168800.0,4.532866954803467
2000-03-07,7.0,6.625,6.8125,6.75,485700.0,4.491280555725098
2000-03-08,7.125,6.5625,6.75,7.0,1398400.0,4.657625198364258
2000-03-09,7.5,6.75,7.0,7.0625,952500.0,4.699209690093994
2000-03-10,7.125,6.875,7.0625,7.0,364100.0,4.657625198364258
2000-03-13,6.9375,6.625,6.625,6.9375,396900.0,4.6160383224487305
2000-03-14,6.875,6.5625,6.875,6.875,253800.0,4.574451923370361
2000-03-15,7.0625,6.75,6.8125,7.0625,342800.0,4.699209690093994
2000-03-16,7.5625,6.9375,6.9375,7.5625,951500.0,5.031898021697998
2000-03-17,8.5,7.5,7.5,8.125,767500.0,5.4061713218688965
2000-03-20,8.5625,8.0625,8.375,8.375,619500.0,5.572515487670898
2000-03-21,8.375,8.0625,8.375,8.1875,315600.0,5.447755813598633
2000-03-22,8.125,7.6875,8.125,7.75,255200.0,5.156656265258789
2000-03-23,8.375,7.375,7.5,8.25,889500.0,5.489343643188477
2000-03-24,8.4375,8.0,8.0625,8.4375,606500.0,5.614099979400635
2000-03-27,8.4375,8.1875,8.3125,8.1875,300200.0,5.447755813598633
2000-03-28,8.25,7.875,8.125,8.125,344700.0,5.4061713218688965
2000-03-29,8.25,7.4375,8.0,8.25,571100.0,5.489343643188477
2000-03-30,9.375,8.1875,8.25,9.0,920900.0,5.988372802734375
2000-03-31,9.125,8.75,9.125,8.9375,375800.0,5.946788311004639
2000-04-03,10.4375,8.9375,9.0,10.1875,1894400.0,6.778509140014648
2000-04-04,10.25,8.75,10.1875,9.5,1385100.0,6.32106351852417
2000-04-05,10.0,9.5625,9.625,9.9375,1266200.0,6.612163543701172
2000-04-06,11.1875,9.9375,10.0,10.875,1883200.0,7.235955238342285
2000-04-07,11.8125,10.75,11.0,11.8125,1614900.0,7.8597412109375
2000-04-10,11.75,10.875,11.375,11.4375,1121600.0,7.610228061676025
2000-04-11,11.75,11.3125,11.5,11.375,901400.0,7.568641662597656
2000-04-12,11.625,11.0,11.25,11.0,769200.0,7.319122314453125
2000-04-13,10.875,10.25,10.875,10.5,998300.0,6.9864349365234375
2000-04-14,10.375,9.625,10.3125,9.625,605600.0,6.404234409332275
2000-04-17,10.0,9.5625,9.75,9.75,653800.0,6.487408638000488
2000-04-18,10.75,9.5,9.8125,10.75,390400.0,7.152779579162598
2000-04-19,11.125,10.375,10.375,10.8125,1040000.0,7.194364547729492
2000-04-20,11.25,10.75,10.8125,11.125,835400.0,7.402298927307129
2000-04-24,11.0,10.5,10.875,10.8125,631200.0,7.194364547729492
2000-04-25,11.3125,10.8125,10.8125,11.25,696100.0,7.485466003417969
2000-04-26,12.25,11.0625,11.125,11.625,1332800.0,7.734981536865234
2000-04-27,11.8125,11.125,11.125,11.75,607300.0,7.818155288696289
2000-04-28,11.9375,11.0625,11.75,11.875,871900.0,7.901327610015869
2000-05-01,11.9375,11.75,11.8125,11.875,558700.0,7.901327610015869
2000-05-02,11.9375,11.5,11.875,11.875,796800.0,7.901327610015869
2000-05-03,11.625,11.0,11.625,11.3125,530500.0,7.527054786682129
