Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,28.75,27.125,28.0625,27.1875,1730100.0,22.22958755493164
2000-01-04,28.0,26.875,27.25,27.375,1373300.0,22.382896423339844
2000-01-05,27.8125,26.5,27.375,26.5,1450800.0,21.667455673217773
2000-01-06,27.375,26.5,26.625,26.6875,1269400.0,21.82076644897461
2000-01-07,28.4375,26.375,27.0,27.6875,1509400.0,22.638404846191406
2000-01-10,29.0,27.625,29.0,28.0,1381500.0,22.893917083740234
2000-01-11,28.125,27.5625,28.0,27.875,1357200.0,22.79171371459961
2000-01-12,29.125,28.0,28.0,28.4375,2002200.0,23.25164031982422
2000-01-13,28.75,28.125,28.5,28.125,1132200.0,22.99612808227539
2000-01-14,28.375,27.4375,28.25,27.5,1553000.0,22.485107421875
2000-01-18,28.1875,27.5,27.625,27.5625,1095600.0,22.53619956970215
2000-01-19,28.4375,27.25,27.875,27.25,2531300.0,22.28069496154785
2000-01-20,27.0625,26.125,27.0,26.125,1705800.0,21.36084747314453
2000-01-21,26.1875,24.5,26.125,25.25,3337200.0,20.64541244506836
2000-01-24,25.75,25.0625,25.6875,25.0625,1050900.0,20.492103576660156
2000-01-25,25.4375,24.125,25.3125,24.125,1206900.0,19.725568771362305
2000-01-26,24.875,24.25,24.25,24.375,935900.0,19.92997932434082
2000-01-27,24.875,24.375,24.5,24.8125,645700.0,20.287694931030273
2000-01-28,24.6875,23.0625,24.625,23.4375,1650000.0,19.16343879699707
2000-01-31,23.75,22.75,23.25,23.75,1505000.0,19.4189510345459
2000-02-01,24.5,23.25,23.6875,24.0,1224500.0,19.623361587524414
2000-02-02,24.0,22.625,23.9375,23.25,1013300.0,19.010129928588867
2000-02-03,23.25,22.4375,22.75,22.75,1733600.0,18.601306915283203
2000-02-04,23.0,22.25,22.8125,22.25,917200.0,18.192489624023438
2000-02-07,23.4375,22.1875,22.625,23.0,1357200.0,18.80571937561035
2000-02-08,23.4375,22.0625,23.25,22.0625,1651700.0,18.0391845703125
2000-02-09,23.9375,22.125,22.125,22.75,2877600.0,18.601306915283203
