Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,13.1875,12.75,13.09375,12.875,882200.0,7.415592193603516
2000-01-04,12.75,12.34375,12.625,12.375,696800.0,7.1276068687438965
2000-01-05,12.46875,12.09375,12.34375,12.15625,556200.0,7.001614093780518
2000-01-06,12.96875,12.15625,12.3125,12.75,1264800.0,7.343599319458008
2000-01-07,13.1875,12.625,13.125,12.75,869800.0,7.343599319458008
2000-01-10,12.71875,12.5,12.6875,12.625,444600.0,7.2715983390808105
2000-01-11,12.625,12.34375,12.5625,12.46875,1162800.0,7.181607246398926
2000-01-12,12.46875,11.90625,12.4375,11.96875,762800.0,6.893621444702148
2000-01-13,11.875,11.28125,11.875,11.4375,1588200.0,6.587639808654785
2000-01-14,11.84375,11.46875,11.5625,11.59375,954600.0,6.677633285522461
2000-01-18,11.5,11.125,11.34375,11.25,989800.0,6.479645252227783
2000-01-19,11.78125,11.15625,11.25,11.625,943000.0,6.695634841918945
2000-01-20,11.6875,11.3125,11.625,11.34375,785800.0,6.533642768859863
2000-01-21,11.625,11.125,11.5,11.15625,748600.0,6.425648212432861
2000-01-24,11.3125,10.9375,11.25,10.9375,828600.0,6.299657344818115
2000-01-25,11.15625,10.84375,10.875,10.96875,800000.0,6.317654609680176
2000-01-26,11.53125,10.9375,11.03125,11.4375,860400.0,6.587639808654785
2000-01-27,11.5625,11.125,11.4375,11.25,1138400.0,6.479645252227783
2000-01-28,11.1875,10.8125,11.125,10.90625,892200.0,6.2816548347473145
2000-01-31,11.0,10.65625,10.90625,11.0,898200.0,6.335654258728027
2000-02-01,11.15625,10.6875,10.96875,11.03125,852000.0,6.3536505699157715
2000-02-02,11.25,10.9375,11.0,11.0625,578000.0,6.371652126312256
2000-02-03,11.6875,11.09375,11.09375,11.25,1094000.0,6.479645252227783
2000-02-04,11.5,11.1875,11.3125,11.5,1251000.0,6.623637676239014
2000-02-07,11.625,11.28125,11.46875,11.3125,1569800.0,6.515644073486328
2000-02-08,12.125,11.3125,11.3125,11.875,1053000.0,6.839626789093018
2000-02-09,11.84375,11.4375,11.75,11.4375,1945400.0,6.587639808654785
2000-02-10,11.65625,11.4375,11.4375,11.46875,1234000.0,6.605635166168213
2000-02-11,11.46875,11.0,11.46875,11.0,1961600.0,6.335654258728027
2000-02-14,10.6875,9.5,10.625,10.5,4257000.0,6.047667980194092
2000-02-15,10.28125,10.125,10.25,10.21875,993200.0,5.885680198669434
2000-02-16,10.28125,9.625,10.28125,9.78125,1363200.0,5.633692264556885
2000-02-17,9.9375,9.125,9.75,9.9375,2174200.0,5.723687171936035
2000-02-18,10.71875,10.03125,10.34375,10.5,2130000.0,6.047667980194092
2000-02-22,10.875,10.5,10.53125,10.625,1613000.0,6.119667053222656
2000-02-23,10.625,10.5,10.5,10.5,865000.0,6.047667980194092
2000-02-24,10.5,9.9375,10.5,10.0,1776000.0,5.7596845626831055
2000-02-25,10.625,10.0,10.03125,10.1875,1099400.0,5.914998531341553
2000-02-28,10.5,10.125,10.25,10.21875,960800.0,5.933145046234131
2000-02-29,10.875,10.0625,10.125,10.65625,1988200.0,6.187161445617676
2000-03-01,10.78125,10.5,10.65625,10.65625,464800.0,6.187161445617676
2000-03-02,11.21875,10.5625,10.78125,10.6875,1357200.0,6.205305099487305
2000-03-03,12.0,11.0,11.125,11.25,1637200.0,6.531900882720947
2000-03-06,11.25,10.8125,11.25,11.0,1032600.0,6.386748790740967
2000-03-07,10.84375,10.5625,10.78125,10.625,790600.0,6.169018745422363
2000-03-08,11.0625,10.4375,10.53125,10.90625,798800.0,6.332315921783447
2000-03-09,11.46875,10.90625,10.9375,11.15625,837600.0,6.477468013763428
2000-03-10,11.3125,11.0,11.3125,11.0625,648600.0,6.423037052154541
2000-03-13,10.96875,10.65625,10.96875,10.78125,678600.0,6.259737968444824
2000-03-14,10.9375,10.53125,10.875,10.625,1002000.0,6.169018745422363
2000-03-15,11.625,10.59375,10.59375,11.625,1186600.0,6.749631404876709
2000-03-16,12.75,11.6875,11.6875,12.4375,2197000.0,7.221380710601807
2000-03-17,12.4375,11.8125,12.4375,11.96875,1402400.0,6.949213027954102
2000-03-20,12.4375,11.75,12.3125,12.0625,1047200.0,7.0036492347717285
2000-03-21,12.5625,11.9375,12.0625,12.46875,1177000.0,7.239523410797119
2000-03-22,12.375,11.9375,12.21875,12.3125,584600.0,7.148800849914551
2000-03-23,13.875,12.21875,12.375,13.78125,2851800.0,8.001580238342285
2000-03-24,15.125,13.75,13.8125,14.0,2583200.0,8.128588676452637
2000-03-27,14.75,14.0625,14.125,14.40625,1282200.0,8.364459991455078
2000-03-28,14.46875,14.03125,14.28125,14.03125,933400.0,8.146733283996582
2000-03-29,14.34375,13.59375,14.0,13.8125,1146400.0,8.019720077514648
2000-03-30,14.1875,13.28125,13.6875,14.09375,1573600.0,8.183021545410156
2000-03-31,14.96875,14.09375,14.40625,14.75,2177600.0,8.564045906066895
2000-04-03,15.4375,14.59375,14.96875,15.15625,1941600.0,8.799921035766602
2000-04-04,16.4375,14.71875,15.375,15.46875,3195200.0,8.981366157531738
2000-04-05,16.5,15.1875,15.25,16.28125,1828400.0,9.453109741210938
2000-04-06,16.375,15.8125,16.25,15.96875,1606400.0,9.271672248840332
2000-04-07,16.0,15.53125,15.875,15.84375,947400.0,9.19909381866455
2000-04-10,16.34375,15.71875,15.78125,16.0,673200.0,9.289813995361328
2000-04-11,16.15625,15.84375,16.0,16.09375,921000.0,9.344243049621582
2000-04-12,17.25,16.1875,16.25,16.875,1698200.0,9.797850608825684
2000-04-13,17.1875,16.65625,17.0625,16.78125,971200.0,9.743419647216797
2000-04-14,16.125,14.5,15.5,14.75,2118000.0,8.564045906066895
2000-04-17,14.75,13.75,14.625,13.96875,1409800.0,8.11044692993164
2000-04-18,15.21875,14.0625,14.09375,14.9375,932000.0,8.672911643981934
2000-04-19,15.375,14.84375,14.84375,15.25,539400.0,8.854354858398438
2000-04-20,15.0625,14.65625,15.0,14.8125,750800.0,8.600333213806152
2000-04-24,15.5625,14.90625,14.9375,15.5,2033000.0,8.999506950378418
2000-04-25,16.375,15.5,15.53125,16.28125,1715000.0,9.453109741210938
2000-04-26,16.34375,15.40625,16.34375,15.4375,2027000.0,8.963217735290527
2000-04-27,15.125,14.0,15.125,14.1875,1638000.0,8.237454414367676
2000-04-28,14.25,13.75,14.1875,13.90625,1235000.0,8.074152946472168
2000-05-01,15.0,13.90625,13.90625,14.875,996400.0,8.636621475219727
2000-05-02,14.8125,14.4375,14.75,14.625,988600.0,8.491471290588379
2000-05-03,13.875,13.125,13.75,13.40625,1235200.0,7.783848762512207
2000-05-04,13.84375,13.21875,13.5,13.4375,1208000.0,7.801994323730469
2000-05-05,13.875,13.3125,13.375,13.8125,770600.0,8.019720077514648
2000-05-08,14.0,13.4375,13.625,13.875,568600.0,8.056012153625488
2000-05-09,14.09375,13.6875,13.75,14.0,617000.0,8.128588676452637
2000-05-10,13.9375,13.4375,13.90625,13.59375,407800.0,7.892711639404297
2000-05-11,13.875,13.28125,13.6875,13.3125,1051600.0,7.729415416717529
2000-05-12,12.96875,12.53125,12.75,12.65625,1606600.0,7.348391056060791
2000-05-15,12.875,12.375,12.625,12.6875,1484200.0,7.366534233093262
2000-05-16,13.21875,12.90625,12.9375,12.9375,1763400.0,7.511688709259033
2000-05-17,12.8125,12.5,12.625,12.5,2426600.0,7.257665634155273
2000-05-18,12.90625,12.5625,12.625,12.8125,981600.0,7.439108848571777
2000-05-19,12.75,12.28125,12.6875,12.28125,1204200.0,7.130660533905029
2000-05-22,12.75,12.40625,12.5,12.46875,633000.0,7.239523410797119
2000-05-23,12.71875,12.25,12.34375,12.5,372600.0,7.257665634155273
2000-05-24,12.40625,11.8125,12.40625,11.96875,823000.0,6.949213027954102
2000-05-25,12.28125,11.875,12.09375,12.0,1081600.0,6.967362403869629
2000-05-26,12.0625,11.65625,12.0625,11.71875,575600.0,6.8554792404174805
2000-05-30,12.21875,11.71875,11.75,12.09375,438000.0,7.074855327606201
2000-05-31,12.625,12.0,12.0,12.5625,436600.0,7.34907341003418
2000-06-01,12.5625,11.75,12.5,11.96875,1140200.0,7.001729965209961
2000-06-02,12.375,11.9375,12.0,12.25,1162400.0,7.166262149810791
2000-06-05,12.21875,11.90625,12.125,11.96875,634200.0,7.001729965209961
2000-06-06,11.78125,11.0625,11.65625,11.21875,1861200.0,6.562977313995361
2000-06-07,13.15625,11.75,11.8125,12.84375,3165600.0,7.513604164123535
2000-06-08,12.625,12.0,12.5,12.15625,776400.0,7.111417293548584
2000-06-09,12.625,12.03125,12.28125,12.03125,891600.0,7.038293361663818
2000-06-12,12.34375,11.953100204467773,12.0625,11.953100204467773,427800.0,6.992573261260986
2000-06-13,12.125,11.8125,11.90625,11.96875,644400.0,7.001729965209961
2000-06-14,12.75,12.1875,12.1875,12.59375,1193200.0,7.367353439331055
2000-06-15,12.84375,12.59375,12.6875,12.65625,616400.0,7.403921127319336
2000-06-16,12.75,12.0,12.65625,12.125,797600.0,7.093137264251709
2000-06-19,12.375,12.0,12.1875,12.21875,380800.0,7.147982597351074
2000-06-20,12.15625,11.875,12.15625,11.9375,452200.0,6.983449459075928
2000-06-21,11.96875,11.5625,11.96875,11.6875,779200.0,6.8372015953063965
2000-06-22,11.9375,11.4375,11.5625,11.8125,986000.0,6.9103240966796875
2000-06-23,12.1875,11.8125,11.875,12.1875,458400.0,7.129698276519775
2000-06-26,12.5,12.0,12.1875,12.125,809200.0,7.093137264251709
2000-06-27,12.8125,12.03125,12.25,12.625,1070400.0,7.3856353759765625
2000-06-28,12.875,12.3125,12.6875,12.570300102233887,544800.0,7.3536376953125
2000-06-29,12.5,11.8125,12.5,12.03125,1277200.0,7.038293361663818
2000-06-30,12.34375,12.0,12.0,12.0625,770800.0,7.056573390960693
2000-07-03,12.1875,11.78125,12.0,11.78125,453600.0,6.892039775848389
2000-07-05,11.96875,11.6875,11.9375,11.875,1406800.0,6.946885108947754
2000-07-06,11.375,10.9375,11.375,11.25,3642800.0,6.581258773803711
2000-07-07,11.625,11.125,11.25,11.625,1744200.0,6.800635814666748
2000-07-10,12.6875,11.5,11.625,12.59375,1443800.0,7.367353439331055
2000-07-11,12.5625,12.15625,12.46875,12.5,534000.0,7.3125104904174805
2000-07-12,12.5625,12.21875,12.375,12.25,495400.0,7.166262149810791
2000-07-13,12.3125,11.6875,12.25,11.71875,1025200.0,6.8554792404174805
2000-07-14,12.09375,11.71875,11.71875,12.0625,354800.0,7.056573390960693
2000-07-17,12.125,11.75,12.0,11.96875,357600.0,7.001729965209961
2000-07-18,12.09375,11.78125,11.84375,12.03125,602000.0,7.038293361663818
2000-07-19,12.03125,11.46875,12.0,11.53125,726800.0,6.745791912078857
2000-07-20,11.71875,11.34375,11.5625,11.40625,667800.0,6.672667503356934
2000-07-21,11.375,11.0,11.28125,11.125,909200.0,6.508136749267578
2000-07-24,11.125,10.71875,11.0625,10.71875,700800.0,6.270479202270508
2000-07-25,10.96875,10.625,10.8125,10.84375,1003400.0,6.343605041503906
2000-07-26,11.4375,10.90625,10.96875,11.125,866200.0,6.508136749267578
2000-07-27,11.34375,10.9375,11.1875,11.09375,1196600.0,6.489852428436279
2000-07-28,9.0625,8.28125,8.75,9.0625,7752600.0,5.301570892333984
2000-07-31,8.9375,8.5625,8.9375,8.75,2731200.0,5.118757724761963
2000-08-01,9.0625,8.71875,8.9375,9.03125,1698400.0,5.283289909362793
2000-08-02,9.5,9.03125,9.0625,9.375,1699800.0,5.484383583068848
2000-08-03,9.21875,8.875,9.1875,9.0625,1692000.0,5.301570892333984
2000-08-04,9.21875,9.0,9.03125,9.15625,685600.0,5.356414318084717
2000-08-07,9.3125,9.0625,9.15625,9.25,1133600.0,5.411258220672607
2000-08-08,9.3125,9.03125,9.25,9.21875,743200.0,5.392976760864258
2000-08-09,9.25,9.0,9.1875,9.1875,1047400.0,5.37469482421875
2000-08-10,9.21875,8.875,9.21875,8.875,682800.0,5.1918840408325195
2000-08-11,9.1875,9.0,9.0625,9.125,486800.0,5.338132381439209
2000-08-14,9.1875,9.03125,9.125,9.09375,818400.0,5.319850921630859
2000-08-15,9.09375,8.875,9.03125,8.9375,779800.0,5.228445053100586
2000-08-16,9.0625,8.75,8.9375,8.96875,1339200.0,5.246726989746094
2000-08-17,8.96875,8.65625,8.84375,8.75,1052400.0,5.118757724761963
2000-08-18,9.3125,8.625,8.6875,9.125,1367000.0,5.338132381439209
2000-08-21,9.40625,9.125,9.28125,9.375,1309400.0,5.484383583068848
2000-08-22,9.5625,9.3125,9.375,9.46875,716800.0,5.539227485656738
2000-08-23,9.75,9.3125,9.53125,9.625,525000.0,5.630636692047119
2000-08-24,9.6875,9.40625,9.625,9.46875,597600.0,5.539227485656738
2000-08-25,9.6875,9.46875,9.59375,9.625,471200.0,5.630636692047119
2000-08-28,9.6875,9.40625,9.5625,9.5,554600.0,5.557507038116455
2000-08-29,9.46875,9.125,9.4375,9.34375,1100400.0,5.5183796882629395
2000-08-30,9.25,9.0,9.21875,9.1875,844800.0,5.42609977722168
2000-08-31,9.15625,8.625,9.0,9.0,3086000.0,5.315364837646484
2000-09-01,9.5,8.375,8.375,9.46875,3928400.0,5.592205047607422
2000-09-05,9.625,8.75,9.59375,9.0625,1527800.0,5.352275848388672
2000-09-06,9.40625,9.0,9.0,9.34375,889200.0,5.5183796882629395
2000-09-07,9.46875,9.125,9.46875,9.1875,713800.0,5.42609977722168
2000-09-08,9.5,9.0625,9.125,9.3125,871200.0,5.4999260902404785
2000-09-11,9.59375,9.15625,9.40625,9.25,636000.0,5.463013172149658
2000-09-12,9.28125,8.96875,9.21875,9.125,1200000.0,5.389188766479492
2000-09-13,9.03125,8.96875,9.0,9.0,1239400.0,5.315364837646484
2000-09-14,9.0625,8.84375,9.0,8.875,946400.0,5.241541385650635
2000-09-15,9.1875,8.625,8.625,8.84375,1456000.0,5.22308349609375
2000-09-18,8.875,8.5625,8.875,8.5625,893200.0,5.056979656219482
2000-09-19,8.5625,8.40625,8.5,8.46875,669400.0,5.001608848571777
2000-09-20,8.5625,8.1875,8.5,8.1875,786600.0,4.835505485534668
2000-09-21,8.46875,8.15625,8.3125,8.25,1078600.0,4.872418403625488
2000-09-22,8.21875,7.90625,8.0625,8.0625,905800.0,4.7616801261901855
2000-09-25,8.125,7.8125,8.09375,7.8125,993000.0,4.614030361175537
2000-09-26,7.75,7.375,7.75,7.5,1375400.0,4.429471492767334
2000-09-27,7.59375,7.3125,7.4375,7.4375,1072400.0,4.392557144165039
2000-09-28,7.71875,7.4375,7.4375,7.5625,928400.0,4.4663825035095215
2000-09-29,8.0,7.5,7.5,7.78125,1558200.0,4.59557580947876
2000-10-02,7.75,7.4375,7.75,7.4375,978800.0,4.392557144165039
2000-10-03,7.625,7.3125,7.3125,7.46875,833600.0,4.411012649536133
2000-10-04,7.90625,7.28125,7.40625,7.59375,931400.0,4.484839916229248
2000-10-05,8.53125,7.78125,7.78125,8.1875,2841000.0,4.835505485534668
2000-10-06,8.15625,7.34375,8.125,7.40625,1807000.0,4.374100208282471
2000-10-09,8.03125,7.53125,7.5625,7.84375,844200.0,4.632486820220947
2000-10-10,8.0,7.5,7.78125,7.84375,1166400.0,4.632486820220947
2000-10-11,7.84375,7.25,7.5,7.3125,2108000.0,4.318734169006348
2000-10-12,7.40625,7.125,7.3125,7.15625,930000.0,4.226452350616455
2000-10-13,7.5625,7.0625,7.09375,7.4375,1475600.0,4.392557144165039
2000-10-16,7.875,7.4375,7.46875,7.8125,1066800.0,4.614030361175537
2000-10-17,7.75,7.46875,7.71875,7.5625,868600.0,4.4663825035095215
2000-10-18,7.53125,7.25,7.5,7.4375,854000.0,4.392557144165039
2000-10-19,7.9375,7.28125,7.28125,7.8125,1390600.0,4.614030361175537
2000-10-20,7.875,7.4375,7.78125,7.5625,623200.0,4.4663825035095215
2000-10-23,7.78125,7.4375,7.5,7.5,520600.0,4.429471492767334
2000-10-24,7.84375,7.46875,7.53125,7.625,709600.0,4.503295421600342
2000-10-25,7.75,7.375,7.71875,7.46875,571400.0,4.411012649536133
2000-10-26,7.5625,7.28125,7.40625,7.34375,457800.0,4.337188720703125
2000-10-27,7.625,7.375,7.375,7.5,497800.0,4.429471492767334
2000-10-30,8.0,7.53125,7.5625,7.90625,697800.0,4.669398784637451
2000-10-31,8.3125,7.78125,7.78125,8.21875,1472600.0,4.853960990905762
2000-11-01,8.15625,7.9375,8.09375,8.0625,437400.0,4.7616801261901855
2000-11-02,8.75,8.0,8.09375,8.59375,2027200.0,5.075434684753418
2000-11-03,8.6875,8.25,8.65625,8.4375,887200.0,4.983152389526367
2000-11-06,9.03125,8.40625,8.625,8.90625,1946000.0,5.2599968910217285
2000-11-07,9.1875,8.96875,9.03125,9.15625,1757400.0,5.407645225524902
2000-11-08,9.5625,9.0,9.09375,9.5,1924600.0,5.610661029815674
2000-11-09,9.28125,8.75,9.25,9.21875,1246400.0,5.444557189941406
2000-11-10,9.21875,8.5625,9.21875,8.8125,970600.0,5.204627513885498
2000-11-13,9.09375,8.65625,8.6875,8.9375,713000.0,5.278451919555664
2000-11-14,9.40625,8.9375,8.96875,9.15625,738000.0,5.407645225524902
2000-11-15,9.125,8.6875,9.03125,9.0625,752200.0,5.352275848388672
2000-11-16,8.75,8.375,8.75,8.625,1783800.0,5.093891620635986
2000-11-17,8.78125,8.5,8.625,8.6875,651200.0,5.13080358505249
2000-11-20,8.6875,8.25,8.6875,8.4375,603000.0,4.983152389526367
2000-11-21,8.46875,7.9375,8.4375,8.03125,1106800.0,4.743225574493408
2000-11-22,8.0625,7.75,8.03125,7.78125,1051800.0,4.59557580947876
2000-11-24,7.9375,7.84375,7.90625,7.875,304000.0,4.650944709777832
2000-11-27,8.625,8.0,8.0,8.25,978400.0,4.872418403625488
2000-11-28,8.21875,8.0,8.21875,8.1875,1086200.0,4.888836860656738
2000-11-29,8.1875,7.9375,8.125,8.125,943800.0,4.8515191078186035
2000-11-30,8.125,7.75,8.09375,8.03125,1356800.0,4.795537948608398
2000-12-01,8.15625,7.90625,8.125,8.0,476200.0,4.776878356933594
2000-12-04,8.59375,7.90625,7.90625,8.5625,1757000.0,5.112755298614502
2000-12-05,8.8125,8.3125,8.375,8.46875,1296000.0,5.056774616241455
2000-12-06,8.78125,8.28125,8.34375,8.375,778600.0,5.000796318054199
