Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,8.1875,7.75,8.1875,7.8125,30100.0,7.085826873779297
2000-01-04,7.875,7.4375,7.75,7.5,17500.0,6.802394390106201
2000-01-05,7.5625,7.375,7.5,7.375,26800.0,6.689022541046143
2000-01-06,7.6875,7.25,7.375,7.5625,48400.0,6.859081745147705
2000-01-07,7.875,7.375,7.5625,7.375,20900.0,6.689022541046143
2000-01-10,7.5,7.0,7.5,7.0625,84300.0,6.405584335327148
2000-01-11,7.25,6.8125,7.1875,6.875,31500.0,6.23552942276001
2000-01-12,7.125,6.8125,7.0,7.125,28200.0,6.462274074554443
2000-01-13,7.25,7.125,7.25,7.125,17900.0,6.462274074554443
2000-01-14,7.1875,6.9375,7.1875,6.9375,29100.0,6.29221248626709
2000-01-18,7.25,7.0625,7.0625,7.25,50100.0,6.575646877288818
2000-01-19,7.375,7.25,7.25,7.375,12800.0,6.689022541046143
2000-01-20,7.625,7.3125,7.3125,7.625,27200.0,6.915766716003418
2000-01-21,7.75,7.4375,7.5,7.75,43000.0,7.029140472412109
2000-01-24,7.875,7.4375,7.8125,7.4375,88400.0,6.745707035064697
2000-01-25,7.375,7.0,7.375,7.1875,969200.0,6.5189595222473145
2000-01-26,7.25,7.125,7.25,7.125,9200.0,6.462274074554443
2000-01-27,7.1875,7.0625,7.125,7.0625,9600.0,6.405584335327148
2000-01-28,7.125,7.0,7.125,7.0,26300.0,6.348902702331543
2000-01-31,7.0625,6.75,7.0,6.75,16400.0,6.122155666351318
2000-02-01,6.8125,6.625,6.8125,6.625,43900.0,6.008782386779785
2000-02-02,6.8125,6.6875,6.75,6.8125,40500.0,6.178839683532715
2000-02-03,7.0,6.75,6.75,7.0,34500.0,6.348902702331543
2000-02-04,7.0,6.6875,7.0,6.6875,70400.0,6.065467834472656
2000-02-07,6.6875,6.4375,6.6875,6.4375,20100.0,5.838719844818115
2000-02-08,6.4375,6.0,6.375,6.0,39000.0,5.441915512084961
2000-02-09,5.9375,5.8125,5.875,5.875,128200.0,5.3285393714904785
2000-02-10,6.5,5.9375,6.0,6.4375,132800.0,5.838719844818115
2000-02-11,6.5,6.3125,6.5,6.375,19500.0,5.782033920288086
2000-02-14,6.5625,6.25,6.25,6.4375,19900.0,5.838719844818115
2000-02-15,6.5,6.125,6.5,6.375,66900.0,5.782033920288086
2000-02-16,6.6875,6.25,6.375,6.6875,40600.0,6.065467834472656
2000-02-17,7.3125,6.75,6.75,6.9375,68600.0,6.29221248626709
2000-02-18,7.125,6.9375,7.0,7.0,31400.0,6.348902702331543
2000-02-22,7.1875,6.9375,7.0,7.0,24500.0,6.348902702331543
2000-02-23,7.0625,7.0,7.0,7.0,12700.0,6.348902702331543
2000-02-24,7.0,6.9375,7.0,6.9375,24800.0,6.29221248626709
2000-02-25,7.125,6.9375,7.0,6.9375,17000.0,6.29221248626709
2000-02-28,7.0,6.75,6.9375,7.0,97300.0,6.348902702331543
2000-02-29,7.0625,6.8125,7.0,6.9375,29000.0,6.29221248626709
2000-03-01,7.0,6.75,6.875,6.9375,83800.0,6.29221248626709
2000-03-02,7.0,6.75,6.9375,6.875,52400.0,6.23552942276001
2000-03-03,6.8125,6.625,6.75,6.8125,81000.0,6.178839683532715
2000-03-06,7.0625,6.875,6.875,7.0625,76500.0,6.405584335327148
2000-03-07,7.1875,6.875,7.1875,7.125,32700.0,6.462274074554443
2000-03-08,7.125,6.625,7.125,6.875,32000.0,6.23552942276001
2000-03-09,7.25,6.875,6.875,7.125,45200.0,6.497715950012207
2000-03-10,7.125,6.6875,7.125,6.875,16600.0,6.26972770690918
2000-03-13,6.9375,6.8125,6.8125,6.9375,11400.0,6.326722145080566
2000-03-14,6.9375,6.75,6.8125,6.75,71200.0,6.155732154846191
2000-03-15,6.75,6.5625,6.75,6.625,36900.0,6.0417375564575195
2000-03-16,6.6875,6.625,6.625,6.625,27200.0,6.0417375564575195
2000-03-17,6.75,6.5625,6.5625,6.6875,39100.0,6.098734378814697
2000-03-20,7.0625,6.6875,6.8125,7.0,94400.0,6.383723258972168
2000-03-21,7.375,6.875,7.0,7.3125,105500.0,6.668709754943848
2000-03-22,7.5625,7.3125,7.3125,7.4375,60900.0,6.782703876495361
2000-03-23,7.5,7.375,7.375,7.375,17100.0,6.725708484649658
2000-03-24,7.375,6.8125,7.375,6.9375,55200.0,6.326722145080566
2000-03-27,7.3125,6.9375,6.9375,7.0,90600.0,6.383723258972168
2000-03-28,7.1875,6.9375,7.0,7.0625,84900.0,6.440715312957764
2000-03-29,7.5,7.0,7.0,7.4375,70900.0,6.782703876495361
2000-03-30,7.5,7.375,7.5,7.375,19300.0,6.725708484649658
2000-03-31,7.9375,7.4375,7.5,7.6875,72700.0,7.010693550109863
2000-04-03,7.8125,7.625,7.75,7.8125,43600.0,7.12468957901001
2000-04-04,7.75,7.5625,7.6875,7.625,86100.0,6.953695297241211
2000-04-05,7.5625,7.3125,7.5,7.4375,52500.0,6.782703876495361
2000-04-06,7.6875,7.4375,7.4375,7.625,31400.0,6.953695297241211
2000-04-07,7.9375,7.5625,7.625,7.75,96900.0,7.067691802978516
2000-04-10,8.125,7.625,7.6875,8.125,79100.0,7.409676551818848
2000-04-11,8.25,7.8125,8.25,8.125,100300.0,7.409676551818848
2000-04-12,8.125,7.75,8.125,7.8125,50800.0,7.12468957901001
2000-04-13,8.0625,7.75,7.875,8.0,45800.0,7.295681476593018
2000-04-14,8.25,7.25,8.0625,7.25,90600.0,6.611710548400879
2000-04-17,7.625,7.25,7.25,7.3125,26600.0,6.668709754943848
2000-04-18,7.4375,7.3125,7.4375,7.375,25500.0,6.725708484649658
2000-04-19,7.625,7.25,7.25,7.625,17500.0,6.953695297241211
2000-04-20,7.8125,7.625,7.625,7.75,12900.0,7.067691802978516
2000-04-24,7.9375,7.5625,7.875,7.5625,7700.0,6.896700382232666
2000-04-25,7.6875,7.5625,7.625,7.625,7100.0,6.953695297241211
2000-04-26,8.3125,7.6875,7.6875,8.25,66500.0,7.523669719696045
2000-04-27,8.1875,8.0,8.125,8.0,28500.0,7.295681476593018
2000-04-28,8.4375,7.9375,8.0,8.4375,32400.0,7.694664001464844
2000-05-01,8.375,8.0625,8.375,8.25,20400.0,7.523669719696045
2000-05-02,8.4375,8.25,8.25,8.3125,59800.0,7.580668926239014
2000-05-03,8.3125,7.9375,8.3125,8.125,118400.0,7.409676551818848
2000-05-04,8.375,8.0625,8.1875,8.125,63200.0,7.409676551818848
2000-05-05,8.3125,8.125,8.125,8.3125,45900.0,7.580668926239014
2000-05-08,8.375,8.1875,8.3125,8.3125,21600.0,7.580668926239014
2000-05-09,8.3125,8.125,8.3125,8.1875,38700.0,7.466672897338867
2000-05-10,8.125,7.75,8.125,7.875,47900.0,7.181685924530029
2000-05-11,8.0,7.75,7.9375,7.875,12500.0,7.181685924530029
2000-05-12,7.9375,7.6875,7.875,7.6875,18300.0,7.010693550109863
2000-05-15,7.9375,7.5,7.625,7.875,69000.0,7.181685924530029
2000-05-16,7.9375,7.625,7.9375,7.8125,27100.0,7.12468957901001
2000-05-17,7.9375,7.625,7.75,7.6875,43100.0,7.010693550109863
2000-05-18,8.125,7.875,7.875,8.125,65800.0,7.409676551818848
2000-05-19,8.75,8.0625,8.0625,8.75,103900.0,7.979651927947998
2000-05-22,8.9375,8.75,8.9375,8.875,84500.0,8.093649864196777
2000-05-23,8.875,8.1875,8.875,8.1875,62800.0,7.466672897338867
2000-05-24,8.1875,7.9375,7.9375,8.0,114300.0,7.295681476593018
2000-05-25,8.625,7.9375,7.9375,8.1875,62600.0,7.466672897338867
2000-05-26,8.375,8.0625,8.125,8.125,49700.0,7.409676551818848
2000-05-30,8.4375,8.0625,8.1875,8.3125,40200.0,7.580668926239014
2000-05-31,8.875,8.3125,8.3125,8.6875,61600.0,7.958561897277832
2000-06-01,8.8125,8.625,8.625,8.75,34900.0,8.015813827514648
2000-06-02,8.9375,8.6875,8.75,8.9375,76200.0,8.187580108642578
2000-06-05,9.125,8.8125,8.8125,9.0625,83600.0,8.302091598510742
2000-06-06,9.125,9.0,9.125,9.125,31400.0,8.359350204467773
2000-06-07,9.875,9.125,9.125,9.625,120300.0,8.817392349243164
2000-06-08,9.75,9.25,9.75,9.375,100800.0,8.588371276855469
2000-06-09,9.375,9.25,9.3125,9.3125,13600.0,8.53111743927002
2000-06-12,9.5625,9.3125,9.4375,9.375,38200.0,8.588371276855469
2000-06-13,9.625,9.25,9.4375,9.625,45900.0,8.817392349243164
2000-06-14,9.875,9.625,9.625,9.75,283000.0,8.931901931762695
2000-06-15,10.375,9.75,9.875,10.375,154500.0,9.504463195800781
2000-06-16,10.5,10.0625,10.3125,10.125,120700.0,9.27544116973877
2000-06-19,10.125,9.8125,10.125,9.9375,60100.0,9.103678703308105
2000-06-20,9.8125,9.625,9.75,9.75,219200.0,8.931901931762695
2000-06-21,9.8125,9.5,9.6875,9.5625,168000.0,8.760140419006348
2000-06-22,9.625,9.25,9.625,9.25,55600.0,8.473859786987305
2000-06-23,9.4375,8.125,9.25,9.1875,144700.0,8.416605949401855
2000-06-26,9.3125,9.125,9.125,9.1875,81200.0,8.416605949401855
2000-06-27,9.25,9.0625,9.1875,9.125,117000.0,8.359350204467773
2000-06-28,9.0625,8.875,9.0625,9.0,54000.0,8.24483585357666
2000-06-29,9.125,8.875,8.9375,9.125,158200.0,8.359350204467773
2000-06-30,9.5,9.0625,9.0625,9.5,187700.0,8.702881813049316
2000-07-03,9.5,9.375,9.4375,9.4375,88800.0,8.645627975463867
2000-07-05,9.5,8.9375,9.4375,9.0,135700.0,8.24483585357666
2000-07-06,9.25,8.9375,9.0,9.25,35300.0,8.473859786987305
2000-07-07,9.25,8.8125,9.25,8.8125,76000.0,8.073071479797363
2000-07-10,9.5625,8.875,8.9375,9.5625,103000.0,8.760140419006348
2000-07-11,9.5,9.375,9.5,9.5,87200.0,8.702881813049316
2000-07-12,9.875,9.5,9.5,9.875,186100.0,9.04642105102539
2000-07-13,10.125,9.5625,9.9375,9.6875,103400.0,8.874652862548828
2000-07-14,9.75,9.375,9.625,9.4375,84200.0,8.645627975463867
2000-07-17,9.5,9.375,9.5,9.5,73700.0,8.702881813049316
2000-07-18,9.4375,9.25,9.4375,9.4375,95000.0,8.645627975463867
2000-07-19,9.375,9.0,9.3125,9.3125,87900.0,8.53111743927002
2000-07-20,9.25,8.875,9.25,9.0,69700.0,8.24483585357666
2000-07-21,9.125,8.75,9.0,9.125,350500.0,8.359350204467773
2000-07-24,9.3125,9.125,9.25,9.25,78800.0,8.473859786987305
2000-07-25,9.375,9.25,9.3125,9.3125,71500.0,8.53111743927002
2000-07-26,9.6875,9.25,9.3125,9.5625,57800.0,8.760140419006348
2000-07-27,9.5,9.25,9.5,9.25,12600.0,8.473859786987305
2000-07-28,9.3125,9.125,9.1875,9.1875,25100.0,8.416605949401855
2000-07-31,9.1875,8.9375,9.125,9.0,21700.0,8.24483585357666
2000-08-01,9.25,9.0625,9.0625,9.25,25400.0,8.473859786987305
2000-08-02,9.3125,9.25,9.25,9.3125,12600.0,8.53111743927002
2000-08-03,9.4375,8.9375,9.1875,9.0,125300.0,8.24483585357666
2000-08-04,9.1875,8.875,9.0625,9.125,30900.0,8.359350204467773
2000-08-07,9.3125,9.0625,9.0625,9.125,36300.0,8.359350204467773
2000-08-08,9.1875,9.0,9.0625,9.0,13300.0,8.24483585357666
2000-08-09,9.125,8.875,9.0,8.9375,27000.0,8.187580108642578
2000-08-10,8.9375,8.75,8.875,8.75,100000.0,8.015813827514648
2000-08-11,8.9375,8.75,8.75,8.9375,27000.0,8.187580108642578
2000-08-14,9.0625,8.8125,9.0,8.8125,57900.0,8.073071479797363
2000-08-15,8.875,8.6875,8.8125,8.6875,33100.0,7.958561897277832
2000-08-16,8.875,8.625,8.75,8.875,27700.0,8.130324363708496
2000-08-17,9.125,8.8125,8.9375,8.8125,138700.0,8.073071479797363
2000-08-18,8.8125,8.6875,8.75,8.6875,36200.0,7.958561897277832
2000-08-21,8.8125,8.6875,8.6875,8.6875,20900.0,7.958561897277832
2000-08-22,8.75,8.625,8.625,8.6875,11300.0,7.958561897277832
2000-08-23,8.6875,8.4375,8.625,8.4375,130200.0,7.7630462646484375
2000-08-24,8.5,8.375,8.375,8.4375,54000.0,7.7630462646484375
2000-08-25,8.875,8.4375,8.4375,8.875,12400.0,8.165573120117188
2000-08-28,9.5,8.9375,8.9375,8.9375,34100.0,8.223075866699219
2000-08-29,9.1875,8.875,9.0625,9.0625,21600.0,8.338083267211914
2000-08-30,9.5,9.0625,9.0625,9.375,37600.0,8.625601768493652
2000-08-31,9.5625,9.0,9.375,9.125,39200.0,8.395591735839844
2000-09-01,9.125,9.0,9.0,9.0,110100.0,8.28057861328125
2000-09-05,9.0,8.875,9.0,8.9375,36800.0,8.223075866699219
2000-09-06,9.3125,8.875,9.0,9.1875,43800.0,8.453092575073242
2000-09-07,9.75,9.125,9.1875,9.75,68900.0,8.970623016357422
2000-09-08,10.0625,9.75,9.75,10.0625,89300.0,9.25815200805664
2000-09-11,10.3125,9.875,10.25,9.9375,315400.0,9.143146514892578
2000-09-12,10.25,10.0,10.0,10.1875,81600.0,9.373153686523438
2000-09-13,11.0625,10.1875,10.1875,11.0625,344800.0,10.178213119506836
2000-09-14,12.25,11.125,11.125,11.5625,122400.0,10.638248443603516
2000-09-15,11.6875,11.5,11.5,11.5625,124400.0,10.638248443603516
2000-09-18,11.5625,11.0,11.5625,11.0,39500.0,10.120711326599121
2000-09-19,11.5,11.0,11.0,11.5,111000.0,10.580741882324219
2000-09-20,11.6875,11.5,11.5,11.5625,53500.0,10.638248443603516
2000-09-21,11.625,11.25,11.625,11.3125,21300.0,10.408230781555176
2000-09-22,11.3125,11.1875,11.1875,11.1875,64700.0,10.293221473693848
2000-09-25,11.125,10.6875,11.125,10.8125,28400.0,9.948198318481445
2000-09-26,11.3125,10.75,10.75,11.3125,368800.0,10.408230781555176
2000-09-27,11.375,10.9375,11.375,10.9375,56100.0,10.063206672668457
2000-09-28,11.125,10.625,10.9375,10.875,352500.0,10.00570297241211
2000-09-29,10.8125,10.3125,10.625,10.3125,43500.0,9.488162994384766
2000-10-02,11.625,10.5625,10.5625,11.5,203900.0,10.580741882324219
2000-10-03,11.75,11.25,11.5,11.3125,24900.0,10.408230781555176
2000-10-04,11.3125,11.125,11.3125,11.1875,67200.0,10.293221473693848
2000-10-05,11.25,11.0,11.1875,11.0625,47300.0,10.178213119506836
2000-10-06,11.375,10.8125,11.0,11.375,113600.0,10.465733528137207
2000-10-09,11.4375,11.1875,11.25,11.4375,43900.0,10.523240089416504
2000-10-10,11.5,11.3125,11.3125,11.375,48600.0,10.465733528137207
2000-10-11,11.34375,11.0,11.34375,11.0,84000.0,10.120711326599121
2000-10-12,10.8125,10.5,10.8125,10.5625,32800.0,9.718182563781738
2000-10-13,10.5625,10.375,10.5,10.5625,121300.0,9.718182563781738
2000-10-16,10.8125,10.5,10.5,10.8125,38300.0,9.948198318481445
2000-10-17,10.75,10.625,10.75,10.6875,13300.0,9.833187103271484
2000-10-18,10.625,10.5,10.625,10.625,38400.0,9.775684356689453
2000-10-19,10.75,10.5,10.625,10.75,51800.0,9.890689849853516
2000-10-20,10.8125,10.6875,10.75,10.8125,16700.0,9.948198318481445
2000-10-23,10.9375,10.75,10.75,10.9375,24300.0,10.063206672668457
2000-10-24,11.0,10.875,10.9375,10.875,29500.0,10.00570297241211
2000-10-25,11.1875,11.0,11.0625,11.125,235800.0,10.235715866088867
2000-10-26,11.1875,11.0625,11.0625,11.125,126300.0,10.235715866088867
2000-10-27,11.625,11.25,11.25,11.625,131600.0,10.695751190185547
2000-10-30,11.75,11.5,11.5,11.5,242800.0,10.580741882324219
2000-10-31,11.875,11.5,11.625,11.875,126000.0,10.925764083862305
2000-11-01,11.875,11.375,11.875,11.5,24600.0,10.580741882324219
2000-11-02,11.5625,11.25,11.5625,11.375,148900.0,10.465733528137207
2000-11-03,11.75,11.4375,11.5,11.75,379500.0,10.81075382232666
2000-11-06,12.0,11.8125,11.8125,12.0,114400.0,11.040778160095215
2000-11-07,12.25,11.875,11.9375,12.25,55000.0,11.270787239074707
2000-11-08,12.5,12.3125,12.3125,12.5,43300.0,11.500804901123047
2000-11-09,12.625,11.875,12.625,12.1875,17500.0,11.213282585144043
2000-11-10,12.0625,11.6875,12.0625,11.9375,27800.0,10.983266830444336
2000-11-13,12.0,11.6875,11.8125,12.0,10300.0,11.040778160095215
2000-11-14,12.0625,11.625,12.0625,11.8125,90400.0,10.868258476257324
2000-11-15,11.8125,11.625,11.625,11.75,56000.0,10.845183372497559
2000-11-16,13.0,12.0,12.0,12.8125,514200.0,11.825871467590332
2000-11-17,13.0,12.5,12.75,12.625,106500.0,11.65280818939209
2000-11-20,12.8125,12.6875,12.6875,12.6875,51100.0,11.710495948791504
2000-11-21,13.0625,12.6875,12.75,12.9375,146300.0,11.941244125366211
2000-11-22,13.0,12.75,13.0,12.75,19100.0,11.768182754516602
