Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,44.5,41.5,44.5,42.46875,858800.0,32.4269905090332
2000-01-04,42.25,39.8125,41.9375,41.125,1052800.0,31.400962829589844
2000-01-05,41.1875,39.78125,41.1875,40.125,692800.0,30.637399673461914
2000-01-06,42.0,37.75,41.625,38.5,2857800.0,29.396656036376953
2000-01-07,41.6875,40.125,41.0,41.21875,3704600.0,31.472558975219727
2000-01-10,44.4375,41.53125,41.75,44.0,1266200.0,33.59617233276367
2000-01-11,44.03125,42.6875,44.03125,43.59375,1796800.0,33.286006927490234
2000-01-12,43.875,42.25,43.875,42.875,777400.0,32.73720169067383
2000-01-13,43.875,42.4375,42.75,43.15625,469200.0,32.9519157409668
2000-01-14,44.0,43.21875,43.5,43.8125,463800.0,33.45301055908203
2000-01-18,44.0625,42.8125,43.3125,43.59375,619400.0,33.286006927490234
2000-01-19,43.6875,43.09375,43.375,43.25,429600.0,33.02351760864258
2000-01-20,43.40625,40.75,43.375,41.46875,1141800.0,31.663442611694336
2000-01-21,41.46875,38.75,41.46875,39.75,1570400.0,30.35109519958496
2000-01-24,40.25,35.5,39.75,37.25,2471800.0,28.442222595214844
2000-01-25,38.125,36.375,37.25,37.5,1158200.0,28.63311767578125
2000-01-26,38.9375,37.875,37.875,38.34375,1052200.0,29.277345657348633
2000-01-27,38.875,37.03125,38.34375,37.5,639600.0,28.63311767578125
2000-01-28,36.71875,35.9375,36.6875,36.1875,829400.0,27.630939483642578
2000-01-31,37.1875,35.15625,36.25,37.0,739200.0,28.2513370513916
2000-02-01,36.6875,35.71875,36.1875,36.09375,2163400.0,27.559371948242188
2000-02-02,36.25,34.5625,35.96875,34.5625,1586800.0,26.39017677307129
2000-02-03,36.125,34.75,34.9375,35.875,1660800.0,27.392333984375
2000-02-04,37.0,35.5,36.8125,35.8125,758400.0,27.344614028930664
2000-02-07,35.46875,33.78125,35.46875,34.96875,908400.0,26.700376510620117
2000-02-08,35.5625,33.96875,35.375,34.375,984800.0,26.247018814086914
2000-02-09,34.6875,33.03125,34.625,33.15625,647800.0,25.31643295288086
2000-02-10,34.3125,33.1875,33.25,33.71875,1124600.0,25.745939254760742
2000-02-11,34.21875,32.03125,34.0625,32.4375,1389200.0,24.767642974853516
2000-02-14,33.875,31.625,32.75,33.375,890400.0,25.483455657958984
2000-02-15,33.375,32.5,33.375,32.90625,384600.0,25.125547409057617
2000-02-16,32.90625,29.96875,32.90625,30.96875,1130200.0,23.646175384521484
2000-02-17,31.75,30.46875,31.5,30.625,1171200.0,23.38370132446289
2000-02-18,31.0,27.53125,30.78125,28.21875,2134600.0,21.546415328979492
